congestion_detection_starttime	congestion_detection_finishtime	numPeoplePerSec_ave	numPeoplePerSec_max	numPeoplePerSec_min	staytime_ave	staytime_max	staytime_min	human_unique_count
2020/10/16 18:06:00	2020/10/16 18:07:00	5.05	12	1	18.9375	42	1	16
2020/10/16 18:06:00	2020/10/16 18:07:00	5.05	12	1	18.9375	42	1	16
2020/10/16 18:07:00	2020/10/16 18:08:00	6.783333333333333	9	3	15.074074074074074	46	1	27
2020/10/16 18:07:00	2020/10/16 18:08:00	6.783333333333333	9	3	15.074074074074074	46	1	27
2020/10/16 18:08:00	2020/10/16 18:09:00	8.266666666666667	13	5	13.777777777777779	33	2	36
2020/10/16 18:08:00	2020/10/16 18:09:00	8.266666666666667	13	5	13.777777777777779	33	2	36
2020/10/16 18:09:00	2020/10/16 18:10:00	7.75	10	6	16.03448275862069	31	1	29
2020/10/16 18:09:00	2020/10/16 18:10:00	7.75	10	6	16.03448275862069	31	1	29
2020/10/16 18:10:00	2020/10/16 18:11:00	11.85	16	9	19.75	56	2	36
2020/10/16 18:10:00	2020/10/16 18:11:00	11.85	16	9	19.75	56	2	36
2020/10/16 18:11:00	2020/10/16 18:12:00	8.716666666666667	14	5	17.433333333333334	40	2	30
2020/10/16 18:11:00	2020/10/16 18:12:00	8.716666666666667	14	5	17.433333333333334	40	2	30
2020/10/16 18:12:00	2020/10/16 18:13:00	6.2	8	4	16.17391304347826	33	2	23
2020/10/16 18:12:00	2020/10/16 18:13:00	6.2	8	4	16.17391304347826	33	2	23
2020/10/16 18:13:00	2020/10/16 18:14:00	7.95	11	6	16.448275862068964	42	1	29
2020/10/16 18:13:00	2020/10/16 18:14:00	7.95	11	6	16.448275862068964	42	1	29
2020/10/16 18:14:00	2020/10/16 18:15:00	8.133333333333333	12	5	14.787878787878787	40	1	33
2020/10/16 18:14:00	2020/10/16 18:15:00	8.133333333333333	12	5	14.787878787878787	40	1	33
2020/10/16 18:15:00	2020/10/16 18:16:00	4.75	12	2	21.923076923076923	60	2	13
2020/10/16 18:15:00	2020/10/16 18:16:00	4.75	12	2	21.923076923076923	60	2	13
2020/10/16 18:16:00	2020/10/16 18:17:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:16:00	2020/10/16 18:17:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:17:00	2020/10/16 18:18:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:17:00	2020/10/16 18:18:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:18:00	2020/10/16 18:19:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:43:00	2020/10/16 18:44:00	0.0	0	0	0.0	0	0	0
2020/10/16 18:44:00	2020/10/16 18:45:00	4.083333333333333	12	1	16.333333333333332	34	2	15
2020/10/16 18:44:00	2020/10/16 18:45:00	4.083333333333333	12	1	16.333333333333332	34	2	15
2020/10/16 18:45:00	2020/10/16 18:46:00	6.616666666666666	9	3	13.689655172413794	39	1	29
2020/10/16 18:45:00	2020/10/16 18:46:00	6.616666666666666	9	3	13.689655172413794	39	1	29
2020/10/16 18:46:00	2020/10/16 18:47:00	8.183333333333334	13	5	14.028571428571428	39	1	35
2020/10/16 18:46:00	2020/10/16 18:47:00	8.183333333333334	13	5	14.028571428571428	39	1	35
2020/10/16 18:47:00	2020/10/16 18:48:00	8.0	12	6	15.483870967741936	33	1	31
2020/10/16 18:47:00	2020/10/16 18:48:00	8.0	12	6	15.483870967741936	33	1	31
2020/10/16 18:48:00	2020/10/16 18:49:00	11.583333333333334	16	7	20.441176470588236	50	1	34
2020/10/16 18:48:00	2020/10/16 18:49:00	11.583333333333334	16	7	20.441176470588236	50	1	34
2020/10/16 18:49:00	2020/10/16 18:50:00	9.233333333333333	14	5	18.466666666666665	42	1	30
2020/10/16 18:49:00	2020/10/16 18:50:00	9.233333333333333	14	5	18.466666666666665	42	1	30
2020/10/16 18:50:00	2020/10/16 18:51:00	6.366666666666666	9	4	15.916666666666666	33	2	24
2020/10/16 18:50:00	2020/10/16 18:51:00	6.366666666666666	9	4	15.916666666666666	33	2	24
2020/10/16 18:51:00	2020/10/16 18:52:00	7.816666666666666	11	5	17.37037037037037	42	2	27
2020/10/16 18:51:00	2020/10/16 18:52:00	7.816666666666666	11	5	17.37037037037037	42	2	27
2020/10/16 18:52:00	2020/10/16 18:53:00	7.666666666666667	12	5	13.93939393939394	40	1	33
2020/10/16 18:52:00	2020/10/16 18:53:00	7.666666666666667	12	5	13.93939393939394	40	1	33
2020/10/16 18:53:00	2020/10/16 18:54:00	5.65	12	2	21.1875	60	1	16
2020/10/16 18:53:00	2020/10/16 18:54:00	5.65	12	2	21.1875	60	1	16
2020/10/16 18:54:00	2020/10/16 18:55:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:54:00	2020/10/16 18:55:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:55:00	2020/10/16 18:56:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:55:00	2020/10/16 18:56:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:56:00	2020/10/16 18:57:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:56:00	2020/10/16 18:57:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:57:00	2020/10/16 18:58:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:57:00	2020/10/16 18:58:00	2.0	2	2	60.0	60	60	2
2020/10/16 18:58:00	2020/10/16 18:59:00	2.0	2	2	60.0	60	60	2
2020/10/16 19:27:00	2020/10/16 19:28:00	0.0	0	0	0.0	0	0	0
2020/10/16 19:27:00	2020/10/16 19:28:00	0.0	0	0	0.0	0	0	0
2020/10/16 19:28:00	2020/10/16 19:29:00	6.2	12	1	18.6	47	1	20
2020/10/16 19:28:00	2020/10/16 19:29:00	6.2	12	1	18.6	47	1	20
2020/10/16 19:29:00	2020/10/16 19:30:00	7.233333333333333	9	3	16.074074074074073	45	1	27
2020/10/16 19:29:00	2020/10/16 19:30:00	7.233333333333333	9	3	16.074074074074073	45	1	27
2020/10/16 19:30:00	2020/10/16 19:31:00	8.383333333333333	13	5	14.794117647058824	34	1	34
2020/10/16 19:30:00	2020/10/16 19:31:00	8.383333333333333	13	5	14.794117647058824	34	1	34
2020/10/16 19:31:00	2020/10/16 19:32:00	8.366666666666667	13	6	15.6875	32	3	32
2020/10/16 19:31:00	2020/10/16 19:32:00	8.366666666666667	13	6	15.6875	32	3	32
2020/10/16 19:32:00	2020/10/16 19:33:00	11.6	16	10	18.81081081081081	59	2	37
2020/10/16 19:32:00	2020/10/16 19:33:00	11.6	16	10	18.81081081081081	59	2	37
2020/10/16 19:33:00	2020/10/16 19:34:00	8.0	14	5	16.0	35	1	30
2020/10/16 19:33:00	2020/10/16 19:34:00	8.0	14	5	16.0	35	1	30
2020/10/16 19:34:00	2020/10/16 19:35:00	6.25	8	4	15.625	33	1	24
2020/10/16 19:34:00	2020/10/16 19:35:00	6.25	8	4	15.625	33	1	24
2020/10/16 19:35:00	2020/10/16 19:36:00	8.133333333333333	11	5	18.074074074074073	45	1	27
2020/10/16 19:35:00	2020/10/16 19:36:00	8.133333333333333	11	5	18.074074074074073	45	1	27
2020/10/16 19:36:00	2020/10/16 19:37:00	8.75	12	5	17.5	41	1	30
2020/10/16 19:36:00	2020/10/16 19:37:00	8.75	12	5	17.5	41	1	30
2020/10/16 19:37:00	2020/10/16 19:38:00	2.8666666666666667	9	2	19.11111111111111	60	2	9
2020/10/16 19:37:00	2020/10/16 19:38:00	2.8666666666666667	9	2	19.11111111111111	60	2	9
2020/10/16 19:41:00	2020/10/16 19:42:00	0.0	0	0	0.0	0	0	0
2020/10/16 19:42:00	2020/10/16 19:43:00	4.283333333333333	12	1	17.133333333333333	35	3	15
2020/10/16 19:42:00	2020/10/16 19:43:00	4.283333333333333	12	1	17.133333333333333	35	3	15
2020/10/16 19:43:00	2020/10/16 19:44:00	6.583333333333333	10	3	13.620689655172415	40	1	29
2020/10/16 19:43:00	2020/10/16 19:44:00	6.583333333333333	10	3	13.620689655172415	40	1	29
2020/10/16 19:44:00	2020/10/16 19:45:00	8.183333333333334	13	5	14.028571428571428	39	1	35
2020/10/16 19:44:00	2020/10/16 19:45:00	8.183333333333334	13	5	14.028571428571428	39	1	35
2020/10/16 19:45:00	2020/10/16 19:46:00	8.033333333333333	12	6	14.606060606060606	33	1	33
2020/10/16 19:45:00	2020/10/16 19:46:00	8.033333333333333	12	6	14.606060606060606	33	1	33
2020/10/16 19:46:00	2020/10/16 19:47:00	11.6	16	7	19.885714285714286	51	1	35
2020/10/16 19:46:00	2020/10/16 19:47:00	11.6	16	7	19.885714285714286	51	1	35
2020/10/16 19:47:00	2020/10/16 19:48:00	9.116666666666667	14	5	17.64516129032258	41	1	31
2020/10/16 19:47:00	2020/10/16 19:48:00	9.116666666666667	14	5	17.64516129032258	41	1	31
2020/10/16 19:48:00	2020/10/16 19:49:00	6.333333333333333	9	4	15.833333333333334	33	1	24
2020/10/16 19:48:00	2020/10/16 19:49:00	6.333333333333333	9	4	15.833333333333334	33	1	24
2020/10/16 19:49:00	2020/10/16 19:50:00	7.633333333333334	11	5	17.615384615384617	40	5	26
2020/10/16 19:49:00	2020/10/16 19:50:00	7.633333333333334	11	5	17.615384615384617	40	5	26
2020/10/16 19:50:00	2020/10/16 19:51:00	8.066666666666666	12	5	14.235294117647058	40	2	34
2020/10/16 19:50:00	2020/10/16 19:51:00	8.066666666666666	12	5	14.235294117647058	40	2	34
2020/10/16 19:51:00	2020/10/16 19:52:00	5.2	12	2	22.285714285714285	60	3	14
2020/10/16 19:51:00	2020/10/16 19:52:00	5.2	12	2	22.285714285714285	60	3	14
2020/10/16 19:52:00	2020/10/16 19:53:00	2.0	2	2	60.0	60	60	2
2020/10/16 19:52:00	2020/10/16 19:53:00	2.0	2	2	60.0	60	60	2
2020/10/16 19:53:00	2020/10/16 19:54:00	2.0	2	2	60.0	60	60	2
2020/10/16 19:53:00	2020/10/16 19:54:00	2.0	2	2	60.0	60	60	2
2020/10/16 19:54:00	2020/10/16 19:55:00	2.0	2	2	60.0	60	60	2
2020/10/16 19:54:00	2020/10/16 19:55:00	2.0	2	2	60.0	60	60	2
2020/10/16 19:55:00	2020/10/16 19:56:00	2.0	2	2	60.0	60	60	2
